site_ref,site_name,site_lat,site_lon,site_alt,obs_source,obs_station_id,obs_station_url,obs_station_distance_m,obs_station_tier,obs_station_qc,obs_station_last_obs_epoch,generated_utc
pge:10060-lz,"Canberra, Lanyon Landing",-35.481000,149.100000,684,wu-pws,ICANBE500,https://www.wunderground.com/dashboard/pws/ICANBE500,380,nearby,1,1788797568,2026-09-08T22:24:16Z
pge:10096-lz,Shelley Beach Landing,-35.109300,117.630000,6,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10129-lz,Kilcoy Landing,-26.820900,152.589000,154,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10498-lz,80 Meter Dunes Landing,-33.864300,121.674000,4,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10625-lz,Tunkalilla Beach Landing,-35.637200,138.314000,18,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10809-lz,Long Reef NE Landing,-33.741300,151.315000,22,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10814-lz,Cooks Terrace Landing,-33.685100,151.309000,12,wu-pws,ISYDNE4395,https://www.wunderground.com/dashboard/pws/ISYDNE4395,1028,nearby,-1,1788777088,2026-09-08T22:24:16Z
pge:11077-lz,Forbes airfield Landing,-33.361200,147.933000,233,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11177-lz,Tunbridge Tiers Landing,-42.117300,147.327000,263,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11371-lz,Cape Jervis Landing,-35.593300,138.108000,10,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11480-lz,S.E Middle Brother Landing,-31.720400,152.697000,7,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11482-lz,S.W Middle Brother Landing,-31.720400,152.698000,7,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11512-lz,Strzelecki Landing,-32.943300,151.765000,5,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11516-lz,Bombala St Landing,-32.981800,151.727000,20,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11661-lz,don heads Landing,-41.157500,146.314000,57,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11893-lz,Argalong Landing,-35.317800,148.348000,354,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11972-lz,Mt Storey Landing,-27.458700,151.848000,635,wu-pws,,,,,,,2026-09-08T22:24:16Z
