id,ref,name,longitude,latitude,altitude,country,wind_n,wind_ne,wind_e,wind_se,wind_s,wind_sw,wind_w,wind_nw,source,closed,site_type,tow,site_group,primary
42,pge:10054,Bica da Cana,-17.065400,32.765200,1620,pt,2,2,1,1,0,0,1,2,pge:10054,,launch,0,pge:10054,pge
43,pge:10055,Pico da Cruz,-16.939600,32.642100,238,pt,0,0,0,2,2,2,0,0,pge:10055,,launch,0,pge:10055,pge
44,pge:10056,Rabacal (Madeira),-17.131500,32.752100,1288,pt,0,1,1,2,2,2,1,0,pge:10056,,launch,0,pge:10056,pge
45,pge:10057,Fanal,-17.140200,32.810800,1185,pt,2,2,0,0,0,0,0,2,pge:10057,,launch,0,pge:10057,pge
46,pge:10058,Canhas,-17.126100,32.702900,481,pt,0,0,0,2,2,2,0,0,pge:10058,,launch,0,pge:10058,pge
47,pge:10059,Compton Whites,-1.487400,50.669200,130,gb,0,0,0,0,2,2,0,0,pge:10059,,launch,0,pge:10059,pge
48,pge:10060,Lanyon,149.107540,-35.483880,900,au,0,0,0,0,0,0,1,0,ansg:106-28;pge:10060,,launch,0,ansg:106;pge:10060,ansg
49,pge:10061,Compton Reds,-1.473400,50.662600,50,gb,0,0,0,0,0,2,0,0,pge:10061,,launch,0,pge:10061,pge
50,pge:10062,Ivanscica,16.127200,46.182200,1060,hr,2,2,2,0,0,0,0,1,pge:10062,,launch,0,pge:10062,pge
51,pge:10063,Burgud - Susnjevica,14.196400,45.240200,820,hr,0,0,0,0,1,1,2,1,pge:10063,,launch,0,pge:10063,pge
52,pge:10064,Osijek - Cepin,18.639800,45.541500,85,hr,0,2,2,2,0,2,2,2,pge:10064,,launch,1,pge:10064,pge
53,pge:10065,Kamenec,17.138100,50.079400,1191,cz,0,0,0,0,0,1,2,1,pge:10065,,launch,0,pge:10065,pge
54,pge:10066,Menifee,-117.157000,33.702800,522,us,0,0,0,1,2,1,0,0,pge:10066,,launch,0,pge:10066,pge
